"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Ceratina japonica","M_057",34,37,0.918918918918919,1.66726287191461
"Ceratina japonica","M_054",2,23,0.0869565217391304,-0.832050294337844
"Ceratina japonica","M_055",4,6,0.666666666666667,0.688530372659096
"Ceratina japonica","M_053",15,15,1,1.62172399349266
"Ceratina loewi","M_015",13,104,0.125,0.772342064245988
"Ceratina mocsaryi","M_016",3,14,0.214285714285714,-0.0241482286155009
"Ceratina nigrolabiata","M_015",9,104,0.0865384615384615,0.345856473824439
"Ceratina okinawana","M_044",1,9,0.111111111111111,-0.765169178004278
"Ceratina parvula","M_015",1,104,0.00961538461538462,-0.507114707018657
"Chelostoma campanularum","M_015",2,104,0.0192307692307692,-0.40049330941327
"Chelostoma emarginatum","M_015",5,104,0.0480769230769231,-0.0806291165971086
"Chelostoma hellenicum","M_015",1,104,0.00961538461538462,-0.507114707018657
"Coelioxys aurolimbatus","M_015",3,104,0.0288461538461538,-0.293871911807883
"Coelioxys mandibularis","M_015",1,104,0.00961538461538462,-0.507114707018657
"Colletes acutus","M_016",3,14,0.214285714285714,-0.0241482286155009
"Colletes albomaculatus","M_015",2,104,0.0192307692307692,-0.40049330941327
"Colletes araucariae","M_001",1,16,0.0625,-0.877294001915503
"Colletes caspicus","M_016",4,14,0.285714285714286,0.330025791078512
"Colletes compactus","M_062",13,121,0.107438016528926,-0.390839797096268
"Colletes cunicularius","M_047",1,13,0.0769230769230769,-0.633925273289415
"Colletes dimidiatus","M_008",2,6,0.333333333333333,-0.818947559667426
"Colletes eous","M_015",1,104,0.00961538461538462,-0.507114707018657
"Colletes fodiens","M_016",1,14,0.0714285714285714,-0.732496268003527
"Colletes foveolaris","M_015",1,104,0.00961538461538462,-0.507114707018657
"Colletes kincaidi","M_005",4,32,0.125,-0.460125411527285
"Colletes similis","M_062",1,121,0.00826446280991736,-0.745924533890354
"Colletes sp","M_001",1,16,0.0625,-0.877294001915503
"Colletes sp","M_002",1,8,0.125,-0.886810919348256
"Colletes succinctus","M_016",3,14,0.214285714285714,-0.0241482286155009
"Colletes succinctus","M_047",1,13,0.0769230769230769,-0.633925273289415
"Dasypoda cingulata","M_016",4,14,0.285714285714286,0.330025791078512
