"ID","Orden.GBIF","Familia.GBIF","Genero.GBIF","Genero.original","planta","interaccion","especie","esp","Aceptado","sp.armonizado"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Rhipiphorus.limbatus","Rhipiphorus limbatus",NA,"Rhipiphorus limbatus"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Gnathias.ovatus","Gnathias ovatus",NA,"Gnathias ovatus"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Tetrachrysis.caerulans","Tetrachrysis caerulans",NA,"Tetrachrysis caerulans"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Nomada.salicis","Nomada salicis",NA,"Nomada salicis"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Senotainia.trilineata","Senotainia trilineata",NA,"Senotainia trilineata"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Pachyophthalmus.signatus","Pachyophthalmus signatus",NA,"Pachyophthalmus signatus"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Phytocoris.scrupeus","Phytocoris scrupeus",NA,"Phytocoris scrupeus"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Priononyx.atrata","Priononyx atrata",NA,"Priononyx atrata"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Halictus.lerouxii","Halictus lerouxii",NA,"Halictus lerouxii"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Tachytes.harpax","Tachytes harpax",NA,"Tachytes harpax"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Sarcophaga.assidua","Sarcophaga assidua",NA,"Sarcophaga assidua"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Batizonus.algidus","Batizonus algidus",NA,"Batizonus algidus"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Epigrimyia.floridensis","Epigrimyia floridensis",NA,"Epigrimyia floridensis"
"M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.brevicaulis",1,"Leionotus.dorsalis","Leionotus dorsalis",NA,"Leionotus dorsalis"
