"Familia","Family.x","Family.y","genero","especie_genero","DIT.final.final"
"Halictidae",NA,NA,"Lassioglossum","Lassioglossum fuscipenne",2.1
"Andrenidae",NA,NA,"Liphanthus","Liphanthus sabulosus",1.237
"Apidae",NA,NA,"Manuelia","Manuelia gayi",1.8
"Apidae",NA,NA,"Manuelia","Manuelia postica",1.7
NA,NA,NA,NA,"Megachile canariensis",3.07
"Megachilidae",NA,NA,"Megachile","Megachile gemula albula",3.62
NA,NA,NA,NA,"Megachile leachella",2.7
NA,NA,NA,NA,"Megachile maritima",3.78
"Megachilidae",NA,NA,"Megachile","Megachile mendica",3.3
"Megachilidae",NA,NA,"Megachile","Megachile pilidens",2.67
"Megachilidae",NA,NA,"Megachile","Megachile relativa",2.68
"Megachilidae",NA,NA,"Megachile","Megachile semirufa",4.19
"Megachilidae",NA,NA,"Megachile","Megachile texana",3.65
"Megachilidae","Megachilidae",NA,"Megachile","Megachile versicolor",3.3
"Megachilidae","Megachilidae",NA,"Megachile","Megachile willughbiella",3.41
NA,NA,NA,NA,"Melecta curvispina",3
NA,NA,NA,NA,"Melecta tuberculata",3.5
NA,NA,NA,NA,"Melipona quadrifasciata",3
"Apidae",NA,NA,"Melissodes","Melissodes agilis",3.24
"Apidae",NA,NA,"Melissodes","Melissodes coreopsis",2.6
NA,NA,NA,NA,"Nomada babiyi",0.87
NA,NA,NA,NA,"Nomada basalis",1.77
NA,NA,NA,NA,"Nomada corcyraea",1.29
NA,NA,NA,NA,"Nomada distinguenda",1.07
NA,NA,NA,NA,"Nomada eos",1.75
NA,NA,NA,NA,"Nomada erythrocephala",1.58
NA,NA,NA,NA,"Nomada femoralis",1.63
NA,NA,NA,NA,"Nomada flava",1.86
NA,NA,NA,NA,"Nomada fucata",1.88
NA,NA,NA,NA,"Nomada imperialis",2.55
NA,NA,NA,NA,"Nomada lucidula",2.43
NA,NA,NA,NA,"Nomada mavromoustakisi",0.84
NA,NA,NA,NA,"Nomada mutabilis",1.72
NA,NA,NA,NA,"Nomada panzeri",1.63
NA,NA,NA,NA,"Nomada propinqua",1.74
NA,NA,NA,NA,"Nomada ruficornis",1.79
NA,NA,NA,NA,"Nomada rufipes",1.45
NA,NA,NA,NA,"Nomada trispinosa",1.64
NA,NA,NA,NA,"Nomioides facilis",0.8
NA,NA,NA,NA,"Osmia apicata",3.24
"Megachilidae",NA,NA,"Osmia","Osmia atriventris",2.08
"Megachilidae","Megachilidae",NA,"Osmia","Osmia aurulenta",2.92
"Megachilidae",NA,NA,"Osmia","Osmia bruneri",2.1
"Megachilidae","Megachilidae",NA,"Osmia","Osmia caerulescens",2.37
"Megachilidae",NA,NA,"Osmia","Osmia collinsiae",2.7
"Megachilidae",NA,NA,"Osmia","Osmia lignaria",2.9
"Megachilidae","Megachilidae",NA,"Osmia","Osmia melanogaster",2.66
NA,NA,NA,NA,"Osmia moreensis",2.18
NA,NA,NA,NA,"Osmia mustelina",3.92
NA,NA,NA,NA,"Osmia nana",1.35
"Megachilidae",NA,NA,"Osmia","Osmia nigrifrons",2.43
"Megachilidae",NA,NA,"Osmia","Osmia pentstemonis",1.75
"Megachilidae",NA,NA,"Osmia","Osmia proxima",2.16
"Megachilidae",NA,NA,"Osmia","Osmia pumila",1.9
"Megachilidae",NA,NA,"Osmia","Osmia pusilla",1.58
NA,NA,NA,NA,"Osmia signata",2.71
"Megachilidae",NA,NA,"Osmia","Osmia simillima",2.53
NA,NA,NA,NA,"Osmia subcornuta",2.41
NA,NA,NA,NA,"Osmia versicolor",1.78
"Apidae",NA,NA,"Peponapis","Peponapis pruinosa",3.16
"Halictidae",NA,NA,"Pseudapis","Pseudapis diversipes",1.78
NA,NA,NA,NA,"Pseudoanthidium alpinum",2.14
"Apidae",NA,NA,"Pyrobombus","Pyrobombus impatiens",4.42
"Apidae",NA,NA,"Pyrobombus","Pyrobombus ternarius",3.17
NA,NA,NA,NA,"Rhodanthidium caturigense",2.82
"Megachilidae","Megachilidae",NA,"Rhodanthidium","Rhodanthidium septemdentatum",3.38
"Halictidae","Halictidae",NA,"Rophites","Rophites quinquespinosus",2.28
"Halictidae",NA,NA,"Ruizantheda","Ruizantheda mutabilis",1.68
NA,NA,NA,NA,"Sphecodes ephippius",1.53
NA,NA,NA,NA,"Sphecodes geoffrellus",1.07
NA,NA,NA,NA,"Sphecodes hirtellus",1.02
NA,NA,NA,NA,"Sphecodes marginatus",1.01
NA,NA,NA,NA,"Sphecodes pellucidus",1.74
NA,NA,NA,NA,"Sphecodes ruficrus",1.56
NA,NA,NA,NA,"Stelis punctulatissima",2.58
NA,NA,NA,NA,"Stelis signata",1.99
"Halictidae","Halictidae",NA,"Systropha","Systropha planidens",2.12
NA,NA,NA,NA,"Thyreus histrionicus",3.05
NA,NA,NA,NA,"Thyreus ramosus",2.37
NA,NA,NA,NA,"Thyreus truncatus",2.5
NA,NA,NA,NA,"Trigona fulviventris",1.4
NA,NA,NA,NA,"Trigona spinipes",1.8
"Apidae","Apidae",NA,"Xylocopa","Xylocopa cantabrita",5.62
"Apidae",NA,"Apidae","Xylocopa","Xylocopa grisescens",7.7
"Apidae","Apidae",NA,"Xylocopa","Xylocopa iris",4.34
"Apidae","Apidae",NA,"Xylocopa","Xylocopa violacea",6.67
"Apidae",NA,NA,"Xylocopa","Xylocopa virginica virginica",5.64
